"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"5481","Bore well of Upper Primary School,
Chopanki, Bhiwadi, Tehsil- tijara, Dist-
Alwar","RAJASTHAN","27","29","7.92","8.07","1267","1279","","","1.22","1.56","3","3","11","11","592","621","0.96","0.98","",""
"5482","BoreWell of RIICO water Supply
Campusof M/S Aksh Optifibre ltd. Plot
no. A-56,RIA,Kehrani, Tehsil- Tijara, Dist-
Alwar","RAJASTHAN","28","29","6.89","8.61","1207","1433","","","1.84","2.76","3","3","9","9","600","735","0.94","0.96","",""
"5483","BoreWell of RIICO Mahendra
Dayma,Village- Alampur, Bhimadi, Tehsil-
Tijara, Dist- Alwar","RAJASTHAN","26","29","7.34","8.38","944","1053","","","1.68","1.86","4","4","9","9","461","563","0.7","0.83","",""
"5484","Bore well of M/S Shree cement ltd., Plot
no. SP-3/A-11, RIA, Khuskhera, Tehsil-
TIjara, District- Alwar","RAJASTHAN","29","30","8.05","8.31","684","712","","","1.42","1.68","3","3","9","9","335","380","0.68","0.88","",""
"5485","Bore well of Shre Satnam Singh S/o Bhop
singh , Village- Bahadri, Chopanki, Tehsil-
TIjara, District- Alwar","RAJASTHAN","28","29","6.67","8.04","1535","1566","","","2.7","2.76","3","3","9","9","754","868","0.74","0.89","",""
"Water Quality Data of Ground Water in Tamil Nadu Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"32","WELL AT MUSIRI, TAMIL NADU","TAMIL NADU","24","24","7.51","7.51","1200","1200","2.6","2.6","0.66","0.66","1.8","1.8","317","317","788","788","0.2","0.2","",""
"1449","COLLECTOR WELL AT THIRUPUVANAM
FOR TAMILNADU","TAMIL NADU","26","27","7.72","7.91","917","1332","2","2.5","0.32","0.86","1.8","14","3.1","21","624","780","0.2","16","",""
"4810","SURIYAMPALAYAM BOREWELL (HAND
PUMP) OWNED BY ERODE CORPORATION
LOATED OPPOSITE TO M/S. PIONEER
PROCESSING INDIA PVT. LTD., BHAVANI
MAIN ROAD, R.N. PUDUR POST, ERODE","TAMIL NADU","27","27","7.84","7.84","1972","1972","1.9","1.9","0.32","0.32","15","15","37","37","900","900","0.2","0.2","",""
"4811","BOREWELL LOCATED AT M/S. PHOENIX
TEXTILE PROCESSORS, VENDIPALAYAM,
ERODE","TAMIL NADU","27","27","7.25","7.25","3700","3700","2.1","2.1","0.36","0.36","20","20","34","34","1816","1816","0.2","0.2","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4814","HOUSE OF THIRU MURUGAN, S/O.
ESAKKI, NO.16B, MEENAKSHIPURAM,
ANNA NAGAR, TIRUNELVELI","TAMIL NADU","30","30","7.99","7.99","2270","2270","3.7","3.7","0.32","0.32","1.8","1.8","3.6","3.6","1756","1756","0.2","0.2","",""
"4815","MUNICIPAL CORPORATION BORE WELL
LOCATED IN PERUMALPURAM STREET,
NARANAMMALPURAM, TIRUNELVELI","TAMIL NADU","30","30","8.18","8.18","1175","1175","3.2","3.2","0.32","0.32","1.8","1.8","1.8","1.8","914","914","0.2","0.2","",""
"4816","AUTHOR ‚– MUKKANI AGRAGARAM
STREET INFRONT OF THIRU N.
SAMUTHRAPANDI HOUSE BORE WELL","TAMIL NADU","26","27","7.17","7.53","3200","3340","2.6","2.7","0.32","0.34","1.8","3.7","1.8","9.2","1780","1838","0.2","0.2","",""
"4817","ERAL ‚– CHARMAM ARUNACHALA
SWAMY TEMPLE WEST OF BORE WELL","TAMIL NADU","27","28","7.65","7.66","862","980","2.5","2.7","0.32","0.32","1.8","1.8","1.8","3.6","496","504","0.2","0.2","",""
"4818","ALWARTHIRUNAGARI ‚– VETERINARY
DISPENSARY, WEST CAR STREET NEAR
OVER HEAD TANK OF BORE WELL","TAMIL NADU","28.5","29","7.8","8.11","470","744","2.4","2.5","0.32","0.42","1.8","1.8","3.7","6.8","320","428","0.2","0.2","",""
"4819","SRIVAIKUNDAM ‚– BLOCK DEVELOPMENT
OFFICE ‚– OPEN WELL","TAMIL NADU","29","29","7.06","7.08","248","480","2.3","2.6","0.32","0.32","1.8","1.8","2","2","168","326","0.2","0.2","",""
"4820","SRIVAIKUNDAM ‚– TNEB SUB STATION 33
KVA OPPOSITE TO TIRUNELVELI MAIN
ROAD OPEN WELL","TAMIL NADU","28","29","7.42","7.56","1509","1600","2.1","2.2","0.32","0.33","1.8","1.8","1.8","5.5","880","880","0.2","0.2","",""
"4824","PARAMASIVAM WATER SERVICE
STATION, BLOCK NO.13 BSNL EXCHANGE
OPPOSITE, METTUR DAM ‚– 636 402.","TAMIL NADU","31","31","7.72","7.72","1455","1455","3.6","3.6","0.72","0.72","16","16","38","38","928","928","0.48","0.48","",""
"4825","M. KALIAPPAN, SANGILIMUNIYAPPAN
KOVIL, ERIKKADU, METTUR","TAMIL NADU","30","30","7.78","7.78","1107","1107","2.4","2.4","0.48","0.48","19","19","37","37","784","784","0.21","0.21","",""
"4826","SAKTHI NAGAR, NEAR MUNICIPALITY
SEWAGE TREATMENT PLANT,
KOMPURANKADU, METTUR","TAMIL NADU","31","31","7.77","7.77","1656","1656","2.7","2.7","0.53","0.53","16","16","34","34","1120","1120","0.66","0.66","",""
"4907","KOMBUPALLAM, SATHYAMANGALAM","TAMIL NADU","29","29","8.37","8.37","437","437","2.3","2.3","0.49","0.49","22","22","42","42","218","218","0.2","0.2","",""
"4908","ARIYAPPAMPALAYAM,
SATHYAMANGALAM","TAMIL NADU","27","27","8.65","8.65","424","424","1.8","1.8","0.52","0.52","25","25","52","52","220","220","0.2","0.2","",""
"4909","THALAVAIPETTAI, BHAVANI","TAMIL NADU","27.5","27.5","7.53","7.53","314","314","1.9","1.9","0.87","0.87","18","18","43","43","288","288","0.2","0.2","",""
"4911","BOREWELL AT PASUPATHY PUDUR
VILLAGE, PALANI TALUK, DINDIGUL DIST.","TAMIL NADU","26","26","6.9","7.96","1001","1111","2.1","2.2","0.4","0.4","1.8","1.8","1.8","6.1","684","764","0.2","0.2","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4912","BORE WELL AT VANNIARVALASU
VILLAGE, NEAR ELEMENTARY SCHOOL,
THOPPAMPATTI PANCHAYAT UNION,
PALANI TALUK, DINDIGUL DIST","TAMIL NADU","27","28","7.08","8.01","1096","1129","2.2","2.3","0.46","0.51","1.8","2","1.8","8.1","758","768","0.2","0.2","",""
"Water Quality Data of Ground Water in Telangana Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"15","BOREWELL AT KOYYURA, JAYASHANKAR
BHUPALAPALLI","TELANGANA","26","26","7.89","7.89","294","294","","","0","0","1.8","1.8","1.8","1.8","186","186","0.87","0.87","",""
"16","OPEN WELL AT GOVT ASHRAM SCHOOL,
TADVAI (V), SS TADVAI (M), MULUGU
DISTRICT","TELANGANA","27","27","7.85","8.07","978","1004","1","1","0","4.2","1.8","1.8","11","47","626","632","0.42","0.93","",""
"27","BOREWELL AT PEDDAVOORA (V&M),
NALGONDA","TELANGANA","23","25","7.52","7.84","1854","1885","","","15.22","18.23","","","","","1006","1131","0.2","0.21","0.00049","0.00049"
"1515","BOREWELL AT NAGARAM, PALVANCHA,
BHADRADRI KOTHAGUDEM","TELANGANA","25","26","7.33","7.5","1738","1745","","","0","5.1","1.8","1.8","1.8","27","1094","1098","0.64","1.28","",""
"1525","BOREWELL AT PASHAMYLARAM NEAR
M/S.SRI CHAITANYA CHLORIDES,
SANGAREDDY","TELANGANA","25","25","7.16","7.16","3048","3048","","","18.31","18.31","","","","","1829","1829","0.3","0.3","0.00049","0.00049"
"1791","BOREWELL AT PYDIPALLY NEAR EAST
SIDE OF SAI CHERUVU , PAIDIPALLY (V),
WARANGAL (M&D)","TELANGANA","27","27","7.43","7.82","1179","1202","","","0","3.7","1.8","1.8","2","17","744","748","1.22","1.48","",""
"1792","BOREWELL AT CKM COLLEGE,
ENAMAMULA (V), WARANGAL (M&D)","TELANGANA","27","27","7.48","8.1","1320","1349","","","0","8.2","1.8","1.8","2","21","824","836","1.12","1.33","",""
"1793","OPEN WELL AT KUNDANPALLY NEAR ASH
PONDS OF NTPC, PEDDAPALLI ,
RAMAGUNDAM","TELANGANA","26","26","7.88","7.96","1567","2182","1","1","0","3.1","1.8","1.8","1.8","17","972","1354","0.55","1.25","",""
"1794","BOREWELL AT MANAKONDUR ,
RAMAGUNDAM","TELANGANA","26","26","7.71","7.8","1046","1107","1.8","1.8","0","2.9","1.8","1.8","8","79","668","690","0.69","0.75","",""
"1795","BOREWELL AT BOLLARAM NEAR
PANCHAYAT OFFICE, SANGAREDDY","TELANGANA","25","25","7.26","7.29","3039","3462","","","15.2","18.24","","","","","1694","2077","0.2","0.2","0.00049","0.00049"
"1810","BOREWELL AT BODHAN, SRIRAMNAGAR
COLONY, SHAKKARNAGAR, NIZAMABAD","TELANGANA","25","25","6.86","8.01","1662","1826","","","12.24","15.23","","","","","1080","1109","0.25","0.25","0.00049","0.00049"
"3088","BOREWELL AT J.NARASIMHA RAO?S
HOUSE, 14NOS. AREA, RAMAVARAM,
NEAR MWS DUMPSITE, KOTHAGUDEM","TELANGANA","26.1","26.1","6.74","7.14","1640","1668","","","0","4.6","1.8","1.8","1.8","27","1034","1050","0.84","1.16","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3094","BOREWELL AT AKBARNAGAR,
RAMAGUNDAM","TELANGANA","26","26","8","8.14","912","964","1","1","0","0.3","1.8","1.8","4","11","566","566","0.89","1.48","",""
"4260","BOREWELL NEAR MSW DUMP YARD,
MEDAK TOWN, MEDAK DISTRICT","TELANGANA","19","28","6.98","7.36","925","1326","","","9.26","10.15","","","","","600","785","0.2","0.31","0.00049","0.00049"
"4262","BOREWELL NEAR GRAMPANCHYAT
OFFICE, KISTAIPALLY VILLAGE, JINNARM
MANDAL, SANGAREDDY DISTRICT","TELANGANA","25","28","7.26","7.63","2197","2212","","","16.32","17.3","","","","","1220","1438","0.32","0.35","0.00049","0.00049"
"4263","BOREWELL NEAR MPP SCHOOL,
GADDAPOTHARAM VILLAGE, JINNARAM
MANDAL, SANGAREDDY DISTRICT","TELANGANA","25","28","6.37","7.16","3781","4710","","","28.22","32.3","","","","","2004","2826","0.3","0.32","0.00049","0.00049"
"4264","BOREWELL WATER POINT AT ZP GIRLS
HIGH SCHOOL, BHUDAN POCHAMPALLY
(V&M), YADADRI DISTRICT.","TELANGANA","24","24","7.5","8.12","2005","2203","1","1","28.2","37.21","","","","","1086","1344","0.32","0.41","0.00049","0.00049"
"4265","BOREWELL AT GRAM PANCHAYATH
OFFICE NEAR SHIVA TEMPLE & WATER
TANK , DOTHIGUDEM (V) , YADADRI
BHUVANAGIRI DISTRICT","TELANGANA","23","23","7.39","8.16","1239","1325","","","8.32","9.37","","","","","696","861","0.2","0.2","0.00049","0.00049"
"4266","BOREWELL, NEAR PRIMARY SCHOOL,
ADLOOR YELLAREDDY (V),
SADASHIVANAGAR (M), KAMAREDDY
DIST.","TELANGANA","25","25","7.41","7.52","1229","1425","","","12.17","14.17","","","","","725","869","0.26","0.31","0.00049","0.00049"
"4268","BOREWELL LOCATED AT HOUSE OF SRI
VITAL RAO, H.NO.2-42, 875, ABESTOS
COLONY, GANDHI NAGAR, BALANAGAR,
MEDCHAL DISTRICT","TELANGANA","27","27","7.32","7.41","936","1472","","","0","4.4","1.8","1.8","11","11","570","912","0.96","1.06","",""
"4270","BOREWELL LOCATED AT HOUSE OF
P.ANJANEYULU , PLOT NO.25,
SHAKTHIPURAM, PRASHANTH NAGAR,
I.E.KUKATPALLY, MEDCHAL DISTRICT","TELANGANA","25","25","7.19","7.22","1845","2366","","","0","17.2","1.8","11","350","350","1144","1466","1.26","1.26","",""
"4271","BOREWELL LOCATED AT GOVERNMENT
PRIMARY SCHOOL, SY.NO.32,
DHULAPALLY (V), QUTHBULLAPUR (M),
MEDCHAL DISTRICT.","TELANGANA","25","25","7.19","7.2","1868","1954","","","0","18.6","1.8","1.8","27","27","1196","1230","0.78","1.26","",""
"4272","BOREWELL LOCATED AT RAJIV GRUHA
KALPA, AHMEDGUDA, AMBEDKAR
NAGAR, KAPRA MEDCHAL DISTRICT.","TELANGANA","25","25","7.46","7.55","844","960","","","0","3.7","1.8","1.8","11","11","514","596","0.91","1.23","",""
"4273","BOREWELL LOCATED AT THANDA
DUNDIGAL (V), DHUNDIGAL (M),
MEDCHAL DISTRICT.","TELANGANA","26","26","7.08","7.28","2028","2258","","","0","15.2","1.8","1.8","21","21","1279","1398","0.86","1.32","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"4274","BOREWELL POINTS AT THE PERIPHERY OF
THE IDA, JEEDIMETLA, MEDCHAL","TELANGANA","26","26","7.04","7.27","1084","1233","","","0","7.9","1.8","1.8","17","17","682","764","1.04","1.28","",""
"4275","BOREWELL POINTS AT THE PERIPHERY OF
THE IDA, BALANAGAR, MEDCHAL","TELANGANA","25","25","7.2","7.67","2303","2571","","","0","18.6","1.8","22","540","540","1474","1594","1.2","1.21","",""
"4276","BOREWELL NEAR GRAMPANCHYAT
OFFICE, KHAZIPALLY VILLAGE,
SANGAREDDY DISTRICT","TELANGANA","29","29","7.32","7.89","1534","2377","","","16.11","37.13","","","","","906","1426","0.21","0.24","0.00049","0.00049"
"4279","BOREWELL NEAR M/S. AUROBINDO
PHARMA UNIT -I, GATE 1 BORAPATLA (V),
HATNOORA (M), SANGAREDDY DISTRICT","TELANGANA","24","25","7.12","7.29","1235","1402","1","1","14.12","17.16","","","","","680","841","0.4","0.4","0.00049","0.00049"
"4282","BOREWELL NEAR AARLA BAVI (V)
(AGRICULTURAL FIELD), POCHAMPALLY
MANDAL, YADADRI BHUVANAGIR
DISTRICT","TELANGANA","24","24","7.88","8.02","1305","1380","","","17.13","17.16","","","","","814","848","0.2","0.21","0.00049","0.00049"
"4284","BOREWELL NEAR MALKAPUR LAKE,
MALKAPUR VILLAGE (AGRICULTURAL
FIELD), CHOUTUPPAL MANDAL,
NALGONDA","TELANGANA","24","24","7.45","7.62","1794","1925","","","19.14","24.12","","","","","990","1251","0.21","0.24","0.00049","0.00049"
"4285","BOREWELL NEAR PEDDAKONDUR
VILLAGE (AGRICULTURAL FIELD),
CHOUTUPPAL MANDAL, NALGONDA","TELANGANA","23","23","6.93","7.23","2125","2346","","","12.23","14.23","1.8","1.8","1.8","1.8","1179","1414","0.29","0.32","0.00049","0.00049"
"4286","BOREWELL NEAR ANKIREDDIGUDEM
VILLAGE (AGRICULTURAL FIELD),
CHOUTUPPAL MANDAL, NALGONDA","TELANGANA","23","23","6.9","7.41","2496","2654","","","24.25","26.26","1.8","1.8","1.8","1.8","1373","1619","0.25","0.31","0.00049","0.00049"
"4287","BOREWELL NEAR LINGAREDDYGUDEM
VILLAGE (BESIDE CHOUTUPPAL-
VALIGONDA ROAD), CHOUTUPPAL
MANDAL, NALGONDA","TELANGANA","23","23","8.21","8.21","1296","1296","","","24.16","24.16","","","","","842","842","0.27","0.27","0.00049","0.00049"
"4288","BOREWELL NEAR NAGARAM CHERUVU,
DEVALAMMA NAGARAM VILLAGE,
NALGONDA","TELANGANA","22","22","7.4","8.43","928","1602","","","6.15","12.23","","","","","548","1041","0.21","0.24","0.00049","0.00049"
"4289","BOREWELL NEAR PITTAM PALLE VILLAGE
(OPEN LAND BESIDE VILLAGE ROAD),
CHITYAL MANDAL, NALGONDA","TELANGANA","24","24","8.02","8.02","1211","1211","","","13.22","13.22","","","","","787","787","0.31","0.31","0.00049","0.00049"
"4290","BOREWELL NEAR PEDDAKAPARTHI
VILLAGE (OPEN LAND BESIDE VILLAGE
ROAD), CHITYAL MANDAL , NALGONDA","TELANGANA","23","23","7.87","8.09","2031","2253","","","24.2","26.19","","","","","1198","1374","0.26","0.3","0.00049","0.00049"
"5493","Bore well in mallapur IALA office,
Mallapur, Rangareddy, dist.","TELANGANA","25","28","7.13","7.29","447","2090","","","0","6.2","1.8","1.8","26","26","278","1316","1.34","1.36","",""
"5494","Bore well in Nacharam IALA office,
Nacharam, Rangareddy, dist.","TELANGANA","25","28","7.12","7.28","766","820","","","0","9.4","1.8","1.8","32","32","474","498","1.03","1.1","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"5495","Bore well in Uppal IALA office, Uppal,
Rangareddy, dist.","TELANGANA","25","29","7.02","7.23","1698","1848","","","0","8.4","1.8","1.8","21","21","1018","1164","1.23","1.28","",""
"5496","Bore well at Malkaram, Jawaharnagar
(V), Shameerpet (M), Medchal dist.","TELANGANA","28","28","7.32","7.32","1110","1110","","","0","0","1.8","1.8","","","698","698","0.98","0.98","",""
"Water Quality Data of Ground Water in Tripura Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1405","WELL AT UDAIPUR (TUBEWELL), TRIPURA","TRIPURA","26","27","6.05","6.29","98","101","1","1","0.64","0.74","1.8","1.8","1.8","1.8","56","62","0.2","0.2","0.00049","0.00049"
"1406","WELL AROUND UDAIPUR (TUBEWELL),
TRIPURA","TRIPURA","26","27","5.63","5.99","119","123","1","1","0.57","0.7","1.8","1.8","1.8","1.8","68","72","0.2","0.2","0.00049","0.00049"
"1730","KUNJBAN, AGARTALA, TRIPURA","TRIPURA","29","30","6.59","6.69","99","113","1","1","0.44","0.6","1.8","1.8","1.8","1.8","56","58","0.2","0.2","0.00049","0.00049"
"1731","LANKAMURA, TRIPURA","TRIPURA","28.5","30","6.39","6.55","90","978","1","1","0.32","0.32","1.8","1.8","1.8","1.8","52","54","0.2","0.2","0.00049","0.00049"
"1732","A.D.NAGAR, AGARTALA, TRIPURA","TRIPURA","28.5","30","6.09","6.22","121","144","1","1","0.32","0.32","1.8","1.8","1.8","1.8","74","82","0.2","0.2","0.00049","0.00049"
"1733","SHIBNAGAR, AGARTALA, TRIPURA","TRIPURA","28.5","30","6.29","6.48","125","141","1","1","0.32","0.32","1.8","1.8","1.8","1.8","74","78","0.2","0.2","0.00049","0.00049"
"1734","GANDHIGRAM, AGARTALA, TRIPURA","TRIPURA","28","30","6.39","6.41","129","137","1","1","0.32","0.32","1.8","1.8","1.8","1.8","74","76","0.2","0.2","0.00049","0.00049"
"3423","TUBE WELL AT HAPANIA, WEST TRIPURA","TRIPURA","25","25.5","6.51","6.79","79","96","1","1","0.32","0.32","1.8","1.8","1.8","1.8","44","52","0.2","0.2","0.00049","0.00049"
"3424","TUBE WELL AT NAGICHERRA, WEST
TRIPURA","TRIPURA","25","25","6.29","6.65","88","913","1","1","0.32","0.32","1.8","1.8","1.8","1.8","48","50","0.2","0.2","0.00049","0.00049"
"3425","TUBE WELL AT BODHJUNG NAGAR, WEST
TRIPURA","TRIPURA","25","25.5","6.18","6.39","106","115","1","1.1","0.32","0.32","1.8","1.8","1.8","1.8","60","66","0.2","0.2","0.00049","0.00049"
"3426","TUBE WELL AT B.C.MANU, SOUTH
TRIPURA","TRIPURA","25","25","6.19","6.28","108","111","1","1","0.32","0.32","1.8","1.8","1.8","1.8","58","60","0.2","0.2","0.00049","0.00049"
"3427","TUBE WELL AT SHANTIR BAZAR, SOUTH
TRIPURA","TRIPURA","25","25","6.39","6.45","81","936","1","1","0.32","0.32","1.8","1.8","1.8","1.8","44","52","0.2","0.2","0.00049","0.00049"
"3428","TUBE WELL AT BAGAFA, SOUTH TRIPURA","TRIPURA","25","25","6.22","6.41","82","96","1","1","0.32","0.32","1.8","1.8","1.8","1.8","46","54","0.2","0.2","",""
"3430","TUBE WELL AT JAWAHANAGAR, DHALAI","TRIPURA","25","25","6.37","6.54","91","998","1","1","0.32","0.32","1.8","1.8","1.8","1.8","52","58","0.2","0.2","",""
"3431","TUBE WELL AT KULAI, DHALAI","TRIPURA","25","25","6.45","6.61","88","102","1","1","0.32","0.32","1.8","1.8","1.8","1.8","46","58","0.2","0.2","0.00049","0.00049"
"3432","TUBE WELL AT CHURAIBARI (INTERSTATE
BOUNDRY), NORTH TRIPURA","TRIPURA","25","25","6.21","6.39","97","108","1","1","0.32","0.32","1.8","1.8","1.8","1.8","48","54","0.2","0.2","",""
"3433","TUBE WELL AT KAMESWAR, INDUSTRIAL
ESTATE AREA, NORTH TRIPURA","TRIPURA","25.5","25.5","6.64","6.78","104","118","1","1","0.32","0.32","1.8","1.8","1.8","1.8","52","58","0.2","0.2","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3434","TUBE WELL AT KUMARGHAT, INDUSTRIAL
ESTATE AREA, NORTH TRIPURA","TRIPURA","25","25.5","6.51","6.71","101","115","1","1","0.32","0.32","1.8","1.8","1.8","1.8","52","58","0.2","0.2","",""
"3435","TUBE WELL AT GOUR NAGAR, NORTH
TRIPURA","TRIPURA","25","25","6.52","6.79","89","92","1","1","0.32","0.32","1.8","1.8","1.8","1.8","48","52","0.2","0.2","0.00049","0.00049"
"3436","TUBE WELL AT KAILASHAHAR, NORTH
TRIPURA","TRIPURA","25","25","6.09","6.26","83","91","1","1","0.32","0.32","1.8","1.8","1.8","1.8","46","52","0.2","0.2","0.00049","0.00049"
"4185","TUBE WELL AT JIRANIA","TRIPURA","26.5","27","5.79","5.81","121","134","1","1","0.32","0.32","1.8","1.8","1.8","1.8","68","70","0.2","0.2","0.00049","0.00049"
"4186","TUBE WELL AT DUKLI INDUSTRIAL AREA","TRIPURA","26.5","27","5.89","6.02","120","131","1","1","0.32","0.32","1.8","1.8","1.8","1.8","64","68","0.2","0.2","0.00049","0.00049"
"4187","TUBE WELL AT BADHARGHAT","TRIPURA","26.5","27","6.19","6.21","118","127","1","1","0.32","0.32","1.8","1.8","1.8","1.8","64","68","0.2","0.2","0.00049","0.00049"
"4188","TUBE WELL AT ARUNDHATI NAGAR","TRIPURA","26.5","27","6.27","6.36","109","125","1","1","0.32","0.32","1.8","1.8","1.8","1.8","60","66","0.2","0.2","0.00049","0.00049"
"4189","TUBE WELL AT NANADANNAGAR","TRIPURA","26","27","6.14","6.31","99","108","1","1","0.32","0.32","1.8","1.8","1.8","1.8","56","58","0.2","0.2","0.00049","0.00049"
"4190","TUBE WELL AT DEBENDRA CHANDRA
NAGAR","TRIPURA","27","28.5","5.77","5.89","115","124","1","1","0.32","0.32","1.8","1.8","1.8","1.8","66","68","0.2","0.2","0.00049","0.00049"
"4191","TUBE WELL AT SURYAMONI NAGAR","TRIPURA","27","28.5","6.24","6.29","101","130","1","1","0.32","0.32","1.8","1.8","1.8","1.8","56","64","0.2","0.2","0.00049","0.00049"
